year,id,date chick death,time 1 Oct,status,type
2017,2017_154,2/02/2018,93,1,NAT
2017,2017_146,10/05/2018,190,0,MB
2017,2017_175,2/02/2018,93,1,NAT
2017,2017_148,10/05/2018,190,0,H
2017,2017_180,2/02/2018,93,1,NAT
2017,2017_029,3/02/2018,94,1,NAT
2017,2017_050,3/02/2018,94,1,NAT
2017,2017_069,3/02/2018,94,1,NAT
2017,2017_153,10/05/2018,190,0,NAT
2017,2017_092,3/02/2018,94,1,NAT
2017,2017_109,3/02/2018,94,1,NAT
2017,2017_125,3/02/2018,94,1,H
2017,2017_168,3/02/2018,94,1,NAT
2017,2017_174,3/02/2018,94,1,NAT
2017,2017_159,10/05/2018,190,0,H
2017,2017_160,10/05/2018,190,0,NAT
2017,2017_185,3/02/2018,94,1,NAT
2017,2017_033,4/02/2018,95,1,NAT
2017,2017_163,10/05/2018,190,0,NAT
2017,2017_044,4/02/2018,95,1,NAT
2017,2017_165,10/05/2018,190,0,NAT
2017,2017_187,4/02/2018,95,1,NAT
2017,2017_078,5/02/2018,96,1,NAT
2017,2017_158,7/02/2018,98,1,NAT
2017,2017_169,10/05/2018,190,0,NAT
2017,2017_170,10/05/2018,190,0,H
2017,2017_171,10/05/2018,190,0,NAT
2017,2017_172,10/05/2018,190,0,H
2017,2017_173,10/05/2018,190,0,NAT
2017,2017_097,9/02/2018,100,1,NAT
2017,2017_151,9/02/2018,100,1,NAT
2017,2017_162,9/02/2018,100,1,NAT
2017,2017_079,10/02/2018,101,1,NAT
2017,2017_113,11/02/2018,102,1,NAT
2017,2017_188,13/02/2018,104,1,NAT
2017,2017_157,15/02/2018,106,1,NAT
2017,2017_047,17/02/2018,108,1,NAT
2017,2017_145,20/02/2018,111,1,NAT
2017,2017_111,22/02/2018,113,1,NAT
2017,2017_184,10/05/2018,190,0,NAT
2017,2017_018,25/02/2018,116,1,NAT
2017,2017_186,10/05/2018,190,0,NAT
2017,2017_043,11/04/2018,161,1,NAT
2017,2017_134,26/04/2018,176,1,NAT
2018,2018_001,25/03/2019,144,1,NAT
2018,2018_002,1/06/2019,212,0,NAT
2018,2018_003,11/02/2019,102,1,NAT
2018,2018_004,1/06/2019,212,0,NAT
2018,2018_005,1/06/2019,212,0,NAT
2018,2018_006,1/06/2019,212,0,NAT
2018,2018_007,3/02/2019,94,1,NAT
2018,2018_008,1/06/2019,212,0,NAT
2018,2018_009,1/06/2019,212,0,NAT
2018,2018_010,1/01/2019,61,1,NAT
2018,2018_011,1/06/2019,212,0,NAT
2018,2018_012,28/01/2019,88,1,NAT
2018,2018_013,1/06/2019,212,0,NAT
2018,2018_014,29/01/2019,89,1,NAT
2018,2018_015,3/02/2019,94,1,NAT
2018,2018_016,1/06/2019,212,0,NAT
2018,2018_017,1/06/2019,212,0,NAT
2018,2018_018,1/06/2019,212,0,NAT
2018,2018_019,16/01/2019,76,1,NAT
2018,2018_020,29/01/2019,89,1,NAT
2018,2018_021,1/06/2019,212,0,NAT
2018,2018_022,1/06/2019,212,0,NAT
2018,2018_023,1/06/2019,212,0,NAT
2018,2018_024,1/06/2019,212,0,NAT
2018,2018_025,1/06/2019,212,0,NAT
2018,2018_026,1/06/2019,212,0,NAT
2018,2018_027,1/06/2019,212,0,NAT
2018,2018_028,1/06/2019,212,0,NAT
2018,2018_029,1/06/2019,212,0,NAT
2018,2018_030,21/12/2018,50,1,NAT
2018,2018_031,1/06/2019,212,0,NAT
2018,2018_032,1/06/2019,212,0,NAT
2018,2018_033,10/02/2019,101,1,NAT
2018,2018_034,1/06/2019,212,0,NAT
2018,2018_035,2/02/2019,93,1,NAT
2018,2018_036,1/06/2019,212,0,NAT
2018,2018_037,5/12/2018,34,1,NAT
2018,2018_038,1/06/2019,212,0,NAT
2018,2018_039,26/12/2018,55,1,NAT
2018,2018_040,1/06/2019,212,0,NAT
2018,2018_041,1/06/2019,212,0,NAT
2018,2018_042,7/02/2019,98,1,NAT
2018,2018_043,1/06/2019,212,0,NAT
2018,2018_044,1/06/2019,212,0,NAT
2018,2018_045,1/06/2019,212,0,NAT
2018,2018_046,1/06/2019,212,0,NAT
2018,2018_047,1/06/2019,212,0,NAT
2018,2018_048,1/06/2019,212,0,NAT
2018,2018_049,1/06/2019,212,0,NAT
2018,2018_050,1/06/2019,212,0,NAT
2018,2018_051,1/06/2019,212,0,NAT
2018,2018_052,1/06/2019,212,0,NAT
2018,2018_053,1/06/2019,212,0,NAT
2018,2018_054,1/06/2019,212,0,NAT
2018,2018_055,1/06/2019,212,0,NAT
2018,2018_056,1/06/2019,212,0,NAT
2018,2018_057,1/06/2019,212,0,NAT
2018,2018_058,30/01/2019,90,1,NAT
2018,2018_059,1/06/2019,212,0,NAT
2018,2018_060,27/01/2019,87,1,NAT
2018,2018_061,1/06/2019,212,0,NAT
2018,2018_062,21/12/2018,50,1,NAT
2018,2018_063,1/06/2019,212,0,NAT
2018,2018_064,8/01/2019,68,1,NAT
2018,2018_065,1/06/2019,212,0,NAT
2018,2018_066,27/01/2019,87,1,NAT
2018,2018_067,1/06/2019,212,0,NAT
2018,2018_068,1/06/2019,212,0,NAT
2018,2018_069,1/06/2019,212,0,NAT
2018,2018_070,1/06/2019,212,0,NAT
2018,2018_071,1/06/2019,212,0,NAT
2018,2018_072,1/06/2019,212,0,NAT
2018,2018_073,1/06/2019,212,0,NAT
2018,2018_074,1/06/2019,212,0,NAT
2018,2018_075,1/06/2019,212,0,NAT
2018,2018_076,5/12/2018,34,1,NAT
2018,2018_077,1/06/2019,212,0,NAT
